time_s,x_m,y_m,theta_rad
2.610000000000000142e+01,4.875336755590199189e+00,3.608040444897878452e+00,6.758093890562693051e-01
2.620000000000000284e+01,4.875333837893678357e+00,3.608038105623744052e+00,6.758105212858948052e-01
2.630000000000000071e+01,4.875335942273918199e+00,3.608039792822411940e+00,6.758094013646821496e-01
2.640000000000000213e+01,4.875336701435605491e+00,3.608040401483159076e+00,6.758072991782574368e-01
2.650000000000000000e+01,4.875334787597701336e+00,3.608038867063008137e+00,6.758118718524001034e-01
2.660000000000000142e+01,4.875336192282333947e+00,3.608039993279912760e+00,6.758094646005533557e-01
2.670000000000000284e+01,4.875334927896221693e+00,3.608038979553445547e+00,6.758094501033592438e-01
2.680000000000000071e+01,4.875336726758113137e+00,3.608040421797897856e+00,6.758070028923233163e-01
2.690000000000000213e+01,4.875334840345990628e+00,3.608038909367294433e+00,6.758129733490381152e-01
2.700000000000000000e+01,4.875334604458564591e+00,3.608038720242276565e+00,6.758163490966331288e-01
2.710000000000000142e+01,4.875336128614680575e+00,3.608039942257589505e+00,6.758173476356498233e-01
2.720000000000000284e+01,4.875337284330217180e+00,3.608040868871968065e+00,6.758114148694760459e-01
2.730000000000000071e+01,4.875337375171828747e+00,3.608040941704873550e+00,6.758044264516137600e-01
2.740000000000000213e+01,4.875335757585379071e+00,3.608039644812054636e+00,6.758055218884833071e-01
2.750000000000000000e+01,4.875334423158217412e+00,3.608038574938548404e+00,6.758120034455910030e-01
2.760000000000000142e+01,4.875336076855425027e+00,3.608039900803592825e+00,6.758113872839259795e-01
2.770000000000000284e+01,4.875334109550836459e+00,3.608038323503298894e+00,6.758122621948755571e-01
2.780000000000000071e+01,4.875334891127645953e+00,3.608038950139127898e+00,6.758169400072977506e-01
2.790000000000000213e+01,4.875336777104249286e+00,3.608040462251342451e+00,6.758150141272372124e-01
2.800000000000000000e+01,4.875337163091189474e+00,3.608040771721387152e+00,6.758084972342341956e-01
2.810000000000000142e+01,4.875335633208528918e+00,3.608039545134464898e+00,6.758037392949787225e-01
2.820000000000000284e+01,4.875334467571136088e+00,3.608038610591130180e+00,6.758120272239470649e-01
2.830000000000000071e+01,4.875336767804189897e+00,3.608040454821582088e+00,6.758117008915121016e-01
2.840000000000000213e+01,4.875335645464964784e+00,3.608039554977634289e+00,6.758115388520590239e-01
2.850000000000000000e+01,4.875334452855947909e+00,3.608038598794668150e+00,6.758115389777431536e-01
2.860000000000000142e+01,4.875334264726709499e+00,3.608038447960681072e+00,6.758076472407315016e-01
